TowerID,X,Y,ele,time,magvar,geoidheigh,longitude,latitude
TowerR01,-80.354637,43.379326,295.484344,2021-08-08,,,1286438.466,541122.719
TowerR02,-80.354219,43.378744,299.113983,2021-08-08,,,1286487.783,541066.523
TowerR03,-80.35478,43.377932,305.178955,2021-08-08,,,1286464.288,540965.752
TowerR04,-80.356123,43.377764,166.543518,2021-08-08,,,1286360.446,540920.92
TowerR05,-80.356284,43.378242,347.857513,2021-08-08,,,1286334.649,540970.638
TowerR06,-80.356649,43.379106,290.781677,2021-08-08,,,1286282.052,541059.06
TowerR07,-80.355795,43.376593,305.990723,2021-08-08,,,1286418.287,540797.821
TowerR08,-80.355144,43.375986,298.451508,2021-08-08,,,1286487.073,540743.414
TowerR09,-80.354965,43.374487,299.972412,2021-08-08,,,1286541.686,540581.126
TowerR10,-80.353783,43.374285,307.931488,2021-08-08,,,1286642.461,540581.894
TowerR11,-80.354092,43.376365,312.223602,2021-08-08,,,1286561.787,540805.896
TowerR12,-80.353989,43.377374,293.319641,2021-08-08,,,1286543.054,540919.502
TowerR13,-80.351748,43.374596,314.015106,2021-08-08,,,1286798.305,540656.078
TowerR14,-80.352189,43.37562,315.909241,2021-08-08,,,1286735.279,540760.706
TowerR15,-80.35181,43.37693,,2021-08-09,,,1286730.741,540912.998
TowerR16,-80.35218,43.37803,,2021-08-09,,,1286671.408,541027.42
TowerR17,-80.349387,43.377363,,2021-08-09,,,1286914.603,541008.264
TowerR18,-80.3483,43.37638,,2021-08-09,,,1287028.648,540920.806
TowerR19,-80.34909,43.37555,,2021-08-09,,,1286987.168,540813.563
TowerR20,-80.35003,43.37438,,2021-08-09,,,1286942.698,540665.783
